,标题,作者,日刊,卷数,页数,DOI,出版年份,关键词,版权作者,版权作者地址,地址,供资,研究领域,WOS类别,文件类型,语言,加入号,ISSN,eISSN,IDS号,引用WOS中的参考文献,大学代码
330,Stochastic response of a class of self-excited systems with Caputo-type fractional derivative driven by Gaussian white noise,"Yang, YG (Yang, Yongge)[ 1 ] ; Xu, W (Xu, Wei)[ 1 ] ; Gu, XD (Gu, Xudong)[ 2 ] ; Sun, YH (Sun, Yahui)[ 3 ]",CHAOS SOLITONS & FRACTALS,77,190-204,10.1016/j.chaos.2015.05.029,Aug-15,VISCOELASTICALLY DAMPED STRUCTURES; PREDICTOR-CORRECTOR APPROACH; DUFFING OSCILLATOR; DIFFERENTIAL-EQUATIONS; ORDER; CALCULUS; STATIONARY; RESONANCE; STABILITY; DYNAMICS,"Xu, W (reprint author)","Northwestern Polytech Univ, Dept Appl Math, Xian 710072, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern Polytechnical University","[ 1 ] Northwestern Polytech Univ, Dept Appl Math, Xian 710072, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern Polytechnical University;[ 2 ] Northwestern Polytech Univ, Dept Engn Mech, Xian 710129, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern Polytechnical University;[ 3 ] Xi An Jiao Tong Univ, State Key Lab Strength & Vibrat Mech Struct, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",NSF of China<U+00A0> 11472212<U+00A0> 11172233<U+00A0> 11302171<U+00A0> 11302169<U+00A0>,Mathematics; Physics,"Mathematics, Interdisciplinary Applications; Physics, Multidisciplinary; Physics, Mathematical",Article,English,WOS:000358970500020,0960-0779,1873-2887,CO2FC,39,10698
331,Aberrant expression and potential therapeutic target of lysophosphatidic acid receptor 3 in triple-negative breast cancers,"Sun, K (Sun, Kai)[ 1 ] ; Cai, H (Cai, Hui)[ 2 ] ; Duan, XY (Duan, Xiaoyi)[ 3 ] ; Yang, Y (Yang, Ya)[ 1 ] ; Li, M (Li, Min)[ 1 ] ; Qu, JK (Qu, Jingkun)[ 1 ] ; Zhang, X (Zhang, Xu)[ 4 ] ; Wang, JS (Wang, Jiansheng)[ 1 ]",CLINICAL AND EXPERIMENTAL MEDICINE,15,371-380,10.1007/s10238-014-0306-5,Aug-15,GENE-EXPRESSION; CARCINOMA CELLS; OVARIAN-CANCER; MIGRATION; AUTOTAXIN; PROGRESSION; INVASION; PROLIFERATION; MECHANISMS; METASTASES,"Wang, JS (reprint author)","Xi An Jiao Tong Univ, Affiliated Hosp 1, Dept Thorac Surg 2, 277 West Yanta Rd, Xian 710061, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Affiliated Hosp 1, Dept Thorac Surg 2, Xian 710061, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Xi An Jiao Tong Univ, Affiliated Hosp 1, Dept Anesthesia, Xian 710061, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] Xi An Jiao Tong Univ, Affiliated Hosp 1, Dept Nucl Med, Xian 710061, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 4 ] Lanzhou Univ, Sch Med, Dept Pathol, Lanzhou 730000, Gansu, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Lanzhou University",National Natural Science Foundation of China<U+00A0> 81171397<U+00A0>,Research & Experimental Medicine,"Medicine, Research & Experimental",Article,English,WOS:000358775900017,1591-8890,1591-9528,CN9NN,35,10698
332,RNA interference-based therapeutics for inherited long QT syndrome (Review),"Li, GL (Li, Guoliang)[ 1 ] ; Ma, ST (Ma, Shuting)[ 1 ] ; Sun, CF (Sun, Chaofeng)[ 1 ]",EXPERIMENTAL AND THERAPEUTIC MEDICINE,10,395-400,10.3892/etm.2015.2573,Aug-15,PROTEIN TRAFFICKING; CARDIAC-ARRHYTHMIA; CHANNEL CURRENTS; HEART-FAILURE; HERG CURRENT; THERAPY; MUTATIONS; MECHANISM; RESCUES; CARDIOMYOCYTES,"Sun, CF (reprint author)","Xi An Jiao Tong Univ, Coll Med, Affiliated Hosp 1, Dept Cardiovasc Med, 277 Yanta West Rd, Xian 710061, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Coll Med, Affiliated Hosp 1, Dept Cardiovasc Med, Xian 710061, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",NA,Research & Experimental Medicine,"Medicine, Research & Experimental",Review,English,WOS:000358679400001,1792-0981,1792-1015,CN8GZ,46,10698
333,Dynamical Models of Stock Prices Based on Technical Trading Rules Part I: The Models,"Wang, LX (Wang, Li-Xin)",IEEE TRANSACTIONS ON FUZZY SYSTEMS,23,787-801,10.1109/TFUZZ.2014.2327994,Aug-15,RETURNS; MARKETS,"Wang, LX (reprint author)","Xi An Jiao Tong Univ, Dept Automat Sci & Technol, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Dept Automat Sci & Technol, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",NA,Computer Science; Engineering,"Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic",Article,English,WOS:000359262400005,1063-6706,1941-0034,CO6JG,60,10698
334,Dynamical Models of Stock Prices Based on Technical Trading Rules-Part II: Analysis of the Model,"Wang, LX (Wang, Li-Xin)",IEEE TRANSACTIONS ON FUZZY SYSTEMS,23,1127-1141,10.1109/TFUZZ.2014.2346244,Aug-15,EQUILIBRIUM; ECONOMICS; MARKETS; CHAOS; FACTS,"Wang, LX (reprint author)","Xi An Jiao Tong Univ, Dept Automat Sci & Technol, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Dept Automat Sci & Technol, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",NA,Computer Science; Engineering,"Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic",Article,English,WOS:000359262400030,1063-6706,1941-0034,CO6JG,41,10698
335,Existence and uniqueness of solutions for nonlinear general fractional differential equations in Banach spaces,"Mei, ZD (Mei, Zhan-Dong)[ 1,2 ] ; Peng, JG (Peng, Ji-Gen)[ 1 ] ; Gao, JH (Gao, Jing-Huai)[ 2 ]",INDAGATIONES MATHEMATICAE-NEW SERIES,26,669-678,10.1016/j.indag.2015.05.004,Aug-15,DIFFUSION; EVOLUTION,"Mei, ZD (reprint author)","Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Math & Stat, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Xi An Jiao Tong Univ, Sch Elect & Informat Engn, Inst Wave & Informat, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",Natural Science Foundation of China<U+00A0> 11301412<U+00A0> 11131006<U+00A0>;Research Fund for the Doctoral Program of Higher Education of China<U+00A0> 20130201120053<U+00A0>;Shaanxi Province Natural Science Foundation of China<U+00A0> 2014JQ1017<U+00A0>;China Postdoctoral Science Foundation<U+00A0> 2014M550482<U+00A0>;Fundamental Research Funds for the Central Universities<U+00A0> 2012jdhz52<U+00A0>,Mathematics,Mathematics,Article,English,WOS:000359165200007,0019-3577,1872-6100,CO4XW,26,10698
336,Prenatal Micronutrient Supplementation Is Not Associated with Intellectual Development of Young School-Aged Children,"Li, C (Li, Chao)[ 1 ] ; Zeng, LX (Zeng, Lingxia)[ 1 ] ; Wang, DL (Wang, Duolao)[ 3 ] ; Yang, WF (Yang, Wenfang)[ 2 ] ; Dang, SN (Dang, Shaonong)[ 1 ] ; Zhou, J (Zhou, Jing)[ 1 ] ; Yan, H (Yan, Hong)[ 1,4 ]",JOURNAL OF NUTRITION,145,1844-1849,10.3945/jn.114.207795,Aug-15,RANDOMIZED CONTROLLED-TRIAL; MENTAL-DEVELOPMENT; BIRTH-WEIGHT; IRON-DEFICIENCY; DOUBLE-BLIND; FOLLOW-UP; PSYCHOMOTOR DEVELOPMENT; ZINC SUPPLEMENTATION; PERINATAL-MORTALITY; PREGNANT-WOMEN,"Yan, H (reprint author)","Xi An Jiao Tong Univ, Hlth Sci Ctr, Sch Publ Hlth, Dept Epidemiol & Biostat, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Hlth Sci Ctr, Sch Publ Hlth, Dept Epidemiol & Biostat, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Xi An Jiao Tong Univ, Hlth Sci Ctr, Affiliated Hosp 1, Maternal & Child Hlth Ctr, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] Univ Liverpool Liverpool Sch Trop Med, Dept Clin Sci, Liverpool, Merseyside, England;[ 4 ] Nutrit & Food Safety Engn Res Ctr Shaanxi Prov, Xian, Peoples R China",National Natural Science Foundation of China<U+00A0> 81230016<U+00A0>;New Century Excellent Talents in University grant<U+00A0> NCET-11-0417<U+00A0>,Nutrition & Dietetics,Nutrition & Dietetics,Article,English,WOS:000359037500022,0022-3166,1541-6100,CO3DT,30,10698
337,Integrated production planning and scheduling for a mixed batch job-shop based on alternant iterative genetic algorithm,"Yan, HS (Yan, Hong-Sen)[ 1 ] ; Wan, XQ (Wan, Xiao-Qin)[ 1 ] ; Xiong, FL (Xiong, Fu-Li)[ 1,2 ]",JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,66,1250-1258,10.1057/jors.2014.88,Aug-15,DEPENDENT SETUP TIMES; PETROLEUM REFINERIES; DELAY INTERACTION; VNS APPROACH; TABU SEARCH; DECOMPOSITION; OPTIMIZATION; INDUSTRY; MODEL; SYSTEM,"Yan, HS (reprint author)","Southeast Univ, MOE Key Lab Measurement & Control Complex Syst En, 2 Sipailou, Nanjing 210096, Jiangsu, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Southeast University - China","[ 1 ] Southeast Univ, Nanjing 210096, Jiangsu, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Southeast University - China;[ 2 ] Xi An Jiao Tong Univ, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","National Natural Science Foundation of China<U+00A0> 60934008<U+00A0> 50875046<U+00A0>;National High Tech R&D Program of China<U+00A0> 2007AA04Z112<U+00A0>;State Key Laboratory for Manufacturing Systems Engineering (Xi'an Jiaotong university), China<U+00A0> <U+00A0>",Business & Economics; Operations Research & Management Science,Management; Operations Research & Management Science,Article,English,WOS:000359173300002,0160-5682,1476-9360,CO5AZ,33,10698
338,A TEM Study of the Microstructure of Plasma-Sprayed YSZ Near Inter-splat Interfaces,"Yang, EJ (Yang, Er-Juan)[ 1 ] ; Luo, XT (Luo, Xiao-Tao)[ 1 ] ; Yang, GJ (Yang, Guan-Jun)[ 1 ] ; Li, CX (Li, Cheng-Xin)[ 1 ] ; Li, CJ (Li, Chang-Jiu.)[ 1 ]",JOURNAL OF THERMAL SPRAY TECHNOLOGY,24,907-914,10.1007/s11666-015-0260-0,Aug-15,THERMAL BARRIER COATINGS; TRANSMISSION ELECTRON-MICROSCOPY; STABILIZED ZIRCONIA; CERAMIC COATINGS; QUANTITATIVE CHARACTERIZATION; RAPID SOLIDIFICATION; PHASE-STABILITY; PART I; CONDUCTIVITY; ADHESION,"Li, CJ (reprint author)","Xi An Jiao Tong Univ, Sch Mat Sci & Engn, State Key Lab Mech Behav Mat, Xian 710049, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Mat Sci & Engn, State Key Lab Mech Behav Mat, Xian 710049, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",National Basic Research Program<U+00A0> 2012CB625100<U+00A0>;National Natural Science Foundation of China<U+00A0> 51171144<U+00A0>;European program Marie Curie IPACTS<U+00A0> 268696<U+00A0>,Materials Science,"Materials Science, Coatings & Films",Review,English,WOS:000358965400002,1059-9630,1544-1016,CO2DL,45,10698
339,Characterization of Plasma Jet in Plasma Spray-Physical Vapor Deposition of YSZ Using a < 80 kW Shrouded Torch Based on Optical Emission Spectroscopy,"Chen, QY (Chen, Qing-Yu)[ 1 ] ; Peng, XZ (Peng, Xiao-Zhuang)[ 1 ] ; Yang, GJ (Yang, Guan-Jun)[ 1 ] ; Li, CX (Li, Cheng-Xin)[ 1 ] ; Li, CJ (Li, Chang-Jiu)[ 1 ]",JOURNAL OF THERMAL SPRAY TECHNOLOGY,24,1038-1045,10.1007/s11666-015-0248-9,Aug-15,NUMBER DENSITIES; PS-PVD; COATINGS; TEMPERATURE; 8YSZ,"Chen, QY (reprint author)","Xi An Jiao Tong Univ, Sch Mat Sci & Engn, State Key Lab Mech Behav Mat, Xian 710049, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Mat Sci & Engn, State Key Lab Mech Behav Mat, Xian 710049, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",National Basic Research Program of China<U+00A0> 2012CB625100<U+00A0> 2013CB035701<U+00A0>;National Natural Science Foundation of China<U+00A0> 51342003<U+00A0>;National Program for Support of Topnotch Young Professionals<U+00A0> <U+00A0>;Fundamental Research Funds for the Central Universities<U+00A0> <U+00A0>,Materials Science,"Materials Science, Coatings & Films",Review,English,WOS:000358965400015,1059-9630,1544-1016,CO2DL,30,10698
340,Reversible data hiding based on local histogram shifting with multilayer embedding,"Pan, ZB (Pan, Zhibin)[ 1 ] ; Hu, S (Hu, Sen)[ 1 ] ; Ma, XX (Ma, Xiaoxiao)[ 1 ] ; Wang, LF (Wang, Lingfei)[ 1 ]",JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,31,64-74,10.1016/j.jvcir.2015.05.005,Aug-15,DIFFERENCE EXPANSION; IMAGE WATERMARKING; INTEGER TRANSFORM; PREDICTION-ERROR,"Hu, S (reprint author)","Xi An Jiao Tong Univ, Sch Elect & Informat Engn, Xian 710049, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Sch Elect & Informat Engn, Xian 710049, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",Major Programs of National Natural Science Foundation of China<U+00A0> 41390454<U+00A0>;Specialized Research Fund for the Doctoral Program of Higher Education<U+00A0> 20130201110071<U+00A0>;Open Project Program of the National Laboratory of Pattern Recognition<U+00A0> 201407370<U+00A0>;Open Project Program of the State Key Lab of CAD CG<U+00A0> A1512<U+00A0>,Computer Science,"Computer Science, Information Systems; Computer Science, Software Engineering",Article,English,WOS:000359181600006,1047-3203,1095-9076,CO5EE,20,10698
341,Recombinant lentivirus with enhanced expression of caudal-related homeobox protein 2 inhibits human colorectal cancer cell proliferation in vitro,"He, S (He, Sai)[ 1 ] ; Sun, XJ (Sun, Xue-Jun)[ 1 ] ; Zheng, JB (Zheng, Jian-Bao)[ 1 ] ; Qi, J (Qi, Jie)[ 2 ] ; Chen, NZ (Chen, Nan-Zheng)[ 1 ] ; Wang, W (Wang, Wei)[ 1 ] ; Wei, GB (Wei, Guang-Bing)[ 1 ] ; Liu, D (Liu, Dong)[ 1 ] ; Yu, JH (Yu, Jun-Hui)[ 1 ] ; Lu, SY (Lu, Shao-Ying)[ 1 ] ; Wang, H (Wang, Hui)[ 3 ] ...More...Less",MOLECULAR MEDICINE REPORTS,12,1838-1844,10.3892/mmr.2015.3594,Aug-15,HYPOXIA-RESPONSE ELEMENTS; TUMOR-SPECIFIC PROMOTER; GENE-THERAPY; COLONIC POLYPOSIS; CDX2 EXPRESSION; MUTANT MICE; TRANSCRIPTION; COMBINATION; PROGRESSION; ADENOVIRUS,"Zheng, JB (reprint author)","Xi An Jiao Tong Univ, Coll Med, Affiliated Hosp 1, Dept Gen Surg, 277 West Yanta Rd, Xian 710061, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Coll Med, Affiliated Hosp 1, Dept Gen Surg, Xian 710061, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Shaanxi Prov Peoples Hosp, Dept Cardiovasc Med 2, Xian 710068, Shaanxi, Peoples R China;[ 3 ] Shaanxi Prov Peoples Hosp, Dept Anesthesiol, Xian 710068, Shaanxi, Peoples R China",National Natural Science Foundation of China<U+00A0> 81101874<U+00A0> 81172362<U+00A0> 81172359<U+00A0>;Science and Technology Project of Shaanxi Province<U+00A0> 2011-K12-19<U+00A0>;Science and Technology Plan and Integrated Innovation Engineering Project of Shaanxi Province<U+00A0> 2013KTCQ03-08<U+00A0>;Clinical Innovation Fund of the First Affiliated Hospital of Xi'an Jiaotong University<U+00A0> 12ZD12<U+00A0> 12ZD21<U+00A0>,Oncology; Research & Experimental Medicine,"Oncology; Medicine, Research & Experimental",Article,English,WOS:000358678600031,1791-2997,1791-3004,CN8GR,39,10698
342,Particulate matter 2.5 induces autophagy via inhibition of the phosphatidylinositol 3-kinase/Akt/mammalian target of rapamycin kinase signaling pathway in human bronchial epithelial cells,"Liu, T (Liu, Tie)[ 1,2,3 ] ; Wu, B (Wu, Bin)[ 4 ] ; Wang, YH (Wang, Yahong)[ 1 ] ; He, HJ (He, Huijuan)[ 1 ] ; Lin, ZY (Lin, Ziying)[ 1 ] ; Tan, JX (Tan, Jianxin)[ 1 ] ; Yang, LW (Yang, Lawei)[ 1 ] ; Kamp, DW (Kamp, David W.)[ 5,6 ] ; Zhou, X (Zhou, Xu)[ 1 ] ; Tang, JF (Tang, Jinfeng)[ 1 ] ; Huang, HL (Huang, Haili)[ 1 ] ; Zhang, LQ (Zhang, Liangqing)[ 2,3 ] ; Bin, L (Bin, Liu)[ 1 ] ; Liu, G (Liu, Gang)[ 1,4 ] ...More...Less",MOLECULAR MEDICINE REPORTS,12,1914-1922,10.3892/mmr.2015.3577,Aug-15,AIR-POLLUTION; CANCER-CELLS; ASTHMA; DEATH; MAPK; APOPTOSIS; P53; ASSOCIATION,"Liu, G (reprint author)","Guangdong Med Coll, Clin Res Ctr, 57 Renming Ave, Zhanjiang 524001, Guangdong, Peoples R China.","[ 1 ] Guangdong Med Coll, Clin Res Ctr, Zhanjiang 524001, Guangdong, Peoples R China;[ 2 ] Xi An Jiao Tong Univ, Sch Med, Affiliated Hosp 1, Dept Immunol, Xian 710061, Shanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] Xi An Jiao Tong Univ, Sch Med, Affiliated Hosp 1, Tumor Res Inst, Xian 710061, Shanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 4 ] Guangdong Med Coll, Affiliated Hosp, Dept Resp Med, Zhanjiang 524001, Guangdong, Peoples R China;[ 5 ] Northwestern Univ, Feinberg Sch Med, Dept Med, Div Pulm & Crit Care Med, Chicago, IL 60611 USA <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Northwestern University;[ 6 ] Jesse Brown VA Med Ctr, Chicago, IL 60611 USA",Science and Technology Innovation Fund of Guangdong Medical College<U+00A0> STIF201109<U+00A0>;Natural Science Foundation of China<U+00A0> NSFC81172615<U+00A0>;Guangdong Natural Science Foundation<U+00A0> S20122010008299<U+00A0>;Science and Technology Planning Project of Guangdong Province<U+00A0> 2012B031800223<U+00A0>,Oncology; Research & Experimental Medicine,"Oncology; Medicine, Research & Experimental",Article,English,WOS:000358678600041,1791-2997,1791-3004,CN8GR,40,10698
343,Conditionally replicating oncolytic adenoviral vector expressing arresten and tumor necrosis factor-related apoptosis-inducing ligand experimentally suppresses lung carcinoma progression,"Li, SD (Li, Shudong)[ 1 ] ; Qi, ZL (Qi, Zongli)[ 2,3 ] ; Li, HJ (Li, Huijin)[ 2,3 ] ; Hu, J (Hu, Jun)[ 2 ] ; Wang, DY (Wang, Dongyang)[ 3 ] ; Wang, X (Wang, Xin)[ 2 ] ; Feng, ZZ (Feng, Zhenzhen)[ 3 ]",MOLECULAR MEDICINE REPORTS,12,2068-2074,10.3892/mmr.2015.3624,Aug-15,GENE-THERAPY; IN-VITRO; TRAIL; AD5-DELTA-24RGD; ACTIVATION; COLLAGEN; CELLS; FIBER; VIVO,"Qi, ZL (reprint author)","Xi An Jiao Tong Univ, Shaanxi Prov Peoples Hosp, Affiliated Hosp 3, Lab Ctr, 256 Youyi West Rd, Xian 710068, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xi An Jiao Tong Univ, Shaanxi Prov Peoples Hosp, Affiliated Hosp 3, Dept Thorac Surg, Xian 710068, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 2 ] Xi An Jiao Tong Univ, Shaanxi Prov Peoples Hosp, Affiliated Hosp 3, Lab Ctr, Xian 710068, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University;[ 3 ] Shaanxi Normal Univ, Dept Biochem, Coll Life Sci, Lab Gene Therapy, Xian 710119, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0>Shaanxi Normal University","China Postdoctoral Special Foundation<U+00A0> 200902585<U+00A0>;Key Project of Social Development and Science and Technology of Shaanxi Province, China<U+00A0> 2015SF-49<U+00A0>",Oncology; Research & Experimental Medicine,"Oncology; Medicine, Research & Experimental",Article,English,WOS:000358678600064,1791-2997,1791-3004,CN8GR,29,10698
344,Association between the expression of T-cadherin and vascular endothelial growth factor and the prognosis of patients with gastric cancer,"Wei, B (Wei, Bin)[ 1 ] ; Shi, HT (Shi, Haitao)[ 2 ] ; Lu, XL (Lu, Xiaolan)[ 2 ] ; Shi, AM (Shi, Ameng)[ 2 ] ; Cheng, Y (Cheng, Yan)[ 2 ] ; Dong, L (Dong, Lei)[ 2 ]",MOLECULAR MEDICINE REPORTS,12,2075-2081,10.3892/mmr.2015.3592,Aug-15,HEPATOCELLULAR-CARCINOMA; ABERRANT METHYLATION; METASTASIS; CELLS; ANGIOGENESIS; PROGRESSION; GENE; METAANALYSIS; MOLECULES; BREAST,"Lu, XL (reprint author)","Xi An Jiao Tong Univ, Affiliated Hosp 2, Dept Gastroenterol, Sch Med, 157 Xiwu Rd, Xian 710004, Shaanxi, Peoples R China. <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University","[ 1 ] Xian 1 Hosp, Dept Gastroenterol, Xian 710002, Shaanxi, Peoples R China;[ 2 ] Xi An Jiao Tong Univ, Affiliated Hosp 2, Dept Gastroenterol, Sch Med, Xian 710004, Shaanxi, Peoples R China <U+00A0><U+00A0>Organization-Enhanced Name(s) <U+00A0><U+00A0><U+00A0><U+00A0> Xi'an Jiaotong University",National Natural Science Foundation of China<U+00A0> 81070328<U+00A0>,Oncology; Research & Experimental Medicine,"Oncology; Medicine, Research & Experimental",Article,English,WOS:000358678600065,1791-2997,1791-3004,CN8GR,33,10698
